Nom latin,Classe,Ordre,Famille,Nom du gène,Nom de l'espèce,Synonymes,Forme,Type,Vitesse de croissance,Hauteur à maturité (m),Infradensité (tMS/m3),Potentiel allergisant
Abarema cochliocarpos,Magnoliopsida,Fabales,Fabaceae,Abarema,cochliocarpos,,Grand arbuste,Feuillus,Inconnue,9,0.724,0
Abarema glauca,Magnoliopsida,Fabales,Fabaceae,Abarema,glauca,,Grand arbuste,Feuillus,Inconnue,3,0.724,0
Abarema jupunba,Magnoliopsida,Fabales,Fabaceae,Abarema,jupunba,,Arbre,Feuillus,Moyenne,19,0.585,0
Abarema langsdorfii,Magnoliopsida,Fabales,Fabaceae,Abarema,langsdorfii,,Grand arbuste,Feuillus,Inconnue,1,0.724,0
Abatia parviflora,Magnoliopsida,Salicales,Salicaceae,Abatia,parviflora,,Arbre,Feuillus,Moyenne,20,0.366,0
Abelia chinensis,Magnoliopsida,Dipsacales,Caprifoliaceae,Abelia,chinensis,,Arbuste ou buisson,Feuillus,Moyenne,2,0.723,0
Abelia grandiflora,Magnoliopsida,Dipsacales,Caprifoliaceae,Abelia,x grandiflora,,Arbuste ou buisson,Feuillus,Rapide,1,0.723,0
Abelia triflora,Magnoliopsida,Dipsacales,Caprifoliaceae,Abelia,triflora,,Grand arbuste,Feuillus,Rapide,3,0.723,0
Abies alba,Pinopsida,Pinales,Pinaceae,Abies,alba,Abies excelsa,Arbre,Résineux,Moyenne,44,0.353,1
Abies amabilis,Pinopsida,Pinales,Pinaceae,Abies,amabilis,,Arbre,Résineux,Lente,50,0.400,0
Abies balsamea,Pinopsida,Pinales,Pinaceae,Abies,balsamea,Pinus balsamea,Arbre,Résineux,Lente,18,0.428,0
Abies borisii-regis,Pinopsida,Pinales,Pinaceae,Abies,x borisii-regis,,Arbre,Résineux,Lente,29,0.428,0
Abies bracteata,Pinopsida,Pinales,Pinaceae,Abies,bracteata,Abies venusta,Arbre,Résineux,Lente,28,0.428,0
Abies cephalonica,Pinopsida,Pinales,Pinaceae,Abies,cephalonica,,Arbre,Résineux,Moyenne,14,0.428,0
Abies cilicica,Pinopsida,Pinales,Pinaceae,Abies,cilicica,,Arbre,Résineux,Moyenne,10,0.428,0
Abies concolor,Pinopsida,Pinales,Pinaceae,Abies,concolor,Picea concolor,Arbre,Résineux,Lente,36,0.370,0
Abies concolor v. lowiana,Pinopsida,Pinales,Pinaceae,Abies,concolor v. lowiana,Abies lowiana,Arbre,Résineux,Lente,29,0.428,0
Abies delavayi,Pinopsida,Pinales,Pinaceae,Abies,delavayi,,Arbre,Résineux,Moyenne,12,0.400,0
Abies fargesii,Pinopsida,Pinales,Pinaceae,Abies,fargesii,,Arbre,Résineux,Moyenne,12,0.340,0
Abies firma,Pinopsida,Pinales,Pinaceae,Abies,firma,,Arbre,Résineux,Moyenne,9,0.428,0
Abies forrestii v. georgei,Pinopsida,Pinales,Pinaceae,Abies,forrestii v. georgei,,Arbre,Résineux,Moyenne,12,0.428,0
Abies fraseri,Pinopsida,Pinales,Pinaceae,Abies,fraseri,Pinus fraseri,Arbre,Résineux,Moyenne,16,0.428,0
Abies grandis,Pinopsida,Pinales,Pinaceae,Abies,grandis,,Arbre,Résineux,Moyenne,45,0.350,0
Abies holophylla,Pinopsida,Pinales,Pinaceae,Abies,holophylla,,Arbre,Résineux,Lente,30,0.336,0
Abies homolepis,Pinopsida,Pinales,Pinaceae,Abies,homolepis,,Arbre,Résineux,Lente,15,0.428,0
Abies kawakamii,Pinopsida,Pinales,Pinaceae,Abies,kawakamii,,Arbre,Résineux,Inconnue,30,0.428,0
Abies koreana,Pinopsida,Pinales,Pinaceae,Abies,koreana,,Arbuste ou buisson,Résineux,Rapide,2,0.428,0
Abies lasiocarpa,Pinopsida,Pinales,Pinaceae,Abies,lasiocarpa,Abies bifolia,Arbre,Résineux,Lente,27,0.310,0
Abies magnifica,Pinopsida,Pinales,Pinaceae,Abies,magnifica,,Arbre,Résineux,Lente,45,0.360,0
Abies masjoannis,Pinopsida,Pinales,Pinaceae,Abies,x masjoannis,,Arbre,Résineux,Rapide,30,0.428,0
Abies nordmanniana,Pinopsida,Pinales,Pinaceae,Abies,nordmanniana,,Arbre,Résineux,Lente,19,0.428,0
Abies numidica,Pinopsida,Pinales,Pinaceae,Abies,numidica,,Arbre,Résineux,Rapide,7,0.428,0
Abies phanerolepis,Pinopsida,Pinales,Pinaceae,Abies,x phanerolepis,Abies balsamea var. phanerolepis,Arbre,Résineux,Lente,29,0.428,0
Abies pinsapo,Pinopsida,Pinales,Pinaceae,Abies,pinsapo,,Arbre,Résineux,Lente,29,0.410,0
Abies procera,Pinopsida,Pinales,Pinaceae,Abies,procera,Abies nobilis,Arbre,Résineux,Rapide,54,0.370,0
Abies religiosa,Pinopsida,Pinales,Pinaceae,Abies,religiosa,,Arbre,Résineux,Moyenne,10,0.380,0
Abies shastensis,Pinopsida,Pinales,Pinaceae,Abies,x shastensis,Abies magnifica var. shastensis,Arbre,Résineux,Lente,29,0.428,0
Abies squamata,Pinopsida,Pinales,Pinaceae,Abies,squamata,,Arbre,Résineux,Inconnue,28,0.428,0
Abies veitchii,Pinopsida,Pinales,Pinaceae,Abies,veitchii,,Grand arbuste,Résineux,Rapide,6,0.428,0
Abutilon berlandieri,Magnoliopsida,Malvales,Malvaceae,Abutilon,berlandieri,Abutilon californicum,Arbuste ou buisson,Feuillus,Moyenne,1,0.442,0
Abutilon eremitopetalum,Magnoliopsida,Malvales,Malvaceae,Abutilon,eremitopetalum,,Arbuste ou buisson,Feuillus,Moyenne,0,0.442,0
Abutilon grandifolium,Magnoliopsida,Malvales,Malvaceae,Abutilon,grandifolium,,Arbuste ou buisson,Feuillus,Moyenne,2,0.442,0
Abutilon megapotamicum,Magnoliopsida,Malvales,Malvaceae,Abutilon,megapotamicum,,Grand arbuste,Feuillus,Rapide,3,0.442,0
Abutilon menziesii,Magnoliopsida,Malvales,Malvaceae,Abutilon,menziesii,,Grand arbuste,Feuillus,Moyenne,3,0.442,0
Abutilon palmeri,Magnoliopsida,Malvales,Malvaceae,Abutilon,palmeri,,Arbuste ou buisson,Feuillus,Moyenne,1,0.442,0
Abutilon sandwicense,Magnoliopsida,Malvales,Malvaceae,Abutilon,sandwicense,Abutilon sandwicense var. welchii,Arbuste ou buisson,Feuillus,Moyenne,2,0.442,0
Acacia acradenia,Magnoliopsida,Fabales,Fabaceae,Acacia,acradenia,,Grand arbuste,Feuillus,Lente,2,0.904,1
Acacia acuminata,Magnoliopsida,Fabales,Fabaceae,Acacia,acuminata,,Grand arbuste,Feuillus,Moyenne,3,0.951,1
Acacia adunca,Magnoliopsida,Fabales,Fabaceae,Acacia,adunca,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia alata,Magnoliopsida,Fabales,Fabaceae,Acacia,alata,,Grand arbuste,Feuillus,Rapide,2,0.724,1
Acacia amoena,Magnoliopsida,Fabales,Fabaceae,Acacia,amoena,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia anceps,Magnoliopsida,Fabales,Fabaceae,Acacia,anceps,,Grand arbuste,Feuillus,Lente,0,0.724,1
Acacia anegadensis,Magnoliopsida,Fabales,Fabaceae,Acacia,anegadensis,,Arbre,Feuillus,Moyenne,12,0.724,1
Acacia aneura,Magnoliopsida,Fabales,Fabaceae,Acacia,aneura,,Grand arbuste,Feuillus,Moyenne,5,0.980,1
Acacia anfractuosa,Magnoliopsida,Fabales,Fabaceae,Acacia,anfractuosa,,Grand arbuste,Feuillus,Lente,1,0.724,1
Acacia argyrophylla,Magnoliopsida,Fabales,Fabaceae,Acacia,argyrophylla,,Grand arbuste,Feuillus,Moyenne,0,0.724,1
Acacia asak,Magnoliopsida,Fabales,Fabaceae,Acacia,asak,,Grand arbuste,Feuillus,Moyenne,10,0.724,1
Acacia assimilis,Magnoliopsida,Fabales,Fabaceae,Acacia,assimilis,,Grand arbuste,Feuillus,Lente,1,0.724,1
Acacia aulacocarpa,Magnoliopsida,Fabales,Fabaceae,Acacia,aulacocarpa,,Grand arbuste,Feuillus,Moyenne,2,0.655,1
Acacia auriculiformis,Magnoliopsida,Fabales,Fabaceae,Acacia,auriculiformis,,Arbre,Feuillus,Rapide,9,0.680,1
Acacia axillaris,Magnoliopsida,Fabales,Fabaceae,Acacia,axillaris,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia baileyana,Magnoliopsida,Fabales,Fabaceae,Acacia,baileyana,,Grand arbuste,Feuillus,Rapide,5,0.724,1
Acacia bakeri,Magnoliopsida,Fabales,Fabaceae,Acacia,bakeri,,Arbre,Feuillus,Rapide,12,0.771,1
Acacia bancroftiorum,Magnoliopsida,Fabales,Fabaceae,Acacia,bancroftiorum,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia beckleri,Magnoliopsida,Fabales,Fabaceae,Acacia,beckleri,,Grand arbuste,Feuillus,Moyenne,0,0.724,1
Acacia berlandieri,Magnoliopsida,Fabales,Fabaceae,Acacia,berlandieri,Acacia emoryana,Grand arbuste,Feuillus,Moyenne,3,0.724,1
Acacia binervata,Magnoliopsida,Fabales,Fabaceae,Acacia,binervata,,Grand arbuste,Feuillus,Moyenne,3,0.724,1
